experiment,protocol,reference,features,model,label,metric,value,n,note
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.501057,5386,fold-mean; F1=0.424; mae_h=8.6375
X3,LOMO,knn-k1-median-unif-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.42366,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.449618,5386,fold-mean; F1=0.372; mae_h=9.2356
X3,LOMO,knn-k1-median-unif-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.372283,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.426958,5386,fold-mean; F1=0.350; mae_h=13.8068
X3,LOMO,knn-k1-median-unif-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.34979,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.635156,5386,fold-mean; F1=0.486; mae_h=0.0000
X3,LOMO,knn-k1-median-unif-TTdew-dmin0,residuals,gradient-boosting,__global__,f1,0.486166,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.550411,5386,fold-mean; F1=0.443; mae_h=5.1041
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.1,residuals,gradient-boosting,__global__,f1,0.443348,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.513248,5386,fold-mean; F1=0.417; mae_h=7.4914
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.25,residuals,gradient-boosting,__global__,f1,0.416532,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.508707,5386,fold-mean; F1=0.416; mae_h=6.9887
X3,LOMO,knn-k1-median-unif-TTdew-dmin0.5,residuals,gradient-boosting,__global__,f1,0.4158,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,accuracy,0.482933,5386,fold-mean; F1=0.388; mae_h=8.5733
X3,LOMO,knn-k1-median-unif-TTdew-dmin1,residuals,gradient-boosting,__global__,f1,0.388011,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k1-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,accuracy,0.438733,5386,fold-mean; F1=0.358; mae_h=11.9979
X3,LOMO,knn-k1-median-unif-TTdew-dmin2,residuals,gradient-boosting,__global__,f1,0.358311,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.66013,5386,fold-mean; F1=0.519; mae_h=0.0003
X3,LOMO,knn-k10-mean-dist-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.518508,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.512031,5386,fold-mean; F1=0.427; mae_h=6.2077
X3,LOMO,knn-k10-mean-dist-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.42691,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.496914,5386,fold-mean; F1=0.414; mae_h=7.8365
X3,LOMO,knn-k10-mean-dist-TT-dmin0.25,residuals,gradient-boosting,__global__,f1,0.413833,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,accuracy,0.485462,5386,fold-mean; F1=0.409; mae_h=7.7819
X3,LOMO,knn-k10-mean-dist-TT-dmin0.5,residuals,gradient-boosting,__global__,f1,0.409272,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,accuracy,0.454483,5386,fold-mean; F1=0.382; mae_h=8.4048
X3,LOMO,knn-k10-mean-dist-TT-dmin1,residuals,gradient-boosting,__global__,f1,0.381631,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,accuracy,0.455506,5386,fold-mean; F1=0.370; mae_h=11.9387
X3,LOMO,knn-k10-mean-dist-TT-dmin2,residuals,gradient-boosting,__global__,f1,0.369595,5386,macro; mean of two LOMO folds
X3,LOMO,knn-k10-mean-dist-TTdew-dmin0,residuals,gradient-boosting,__global__,accuracy,0.652038,5386,fold-mean; F1=0.513; mae_h=0.0001
