estimator,dew,dmin,acc,f1,acc_14,acc_16,mae_healthy,n
knn-k20-mean-unif,TTdew,0.1,0.4844825376303339,0.4046499764751577,0.4669421487603306,0.5020229265003372,8.154624455853359,5386
knn-k20-mean-unif,TTdew,0.25,0.4829601879148253,0.4025180067442127,0.46322314049586777,0.5026972353337829,8.578446207308263,5386
knn-k20-mean-unif,TTdew,0.5,0.47909935188332786,0.405842141959014,0.4615702479338843,0.49662845583277143,8.744072072383714,5386
knn-k20-mean-unif,TTdew,1.0,0.4645482130815914,0.3921431933226452,0.45,0.47909642616318276,9.447168794670466,5386
knn-k20-mean-unif,TTdew,2.0,0.46266098426798485,0.38072541028503004,0.45330578512396696,0.4720161834120027,10.15885652319831,5386
knn-k20-mean-dist,TTdew,0.0,0.641331369850036,0.501258517456503,0.7351239669421488,0.5475387727579232,0.00014190495957766723,5386
knn-k20-mean-dist,TTdew,0.1,0.5092234024174808,0.42359396151720063,0.4921487603305785,0.526298044504383,6.367246133431482,5386
knn-k20-mean-dist,TTdew,0.25,0.4972122066617255,0.41391564180086377,0.47520661157024796,0.519217801753203,7.79436589093952,5386
knn-k20-mean-dist,TTdew,0.5,0.49423229103392163,0.419103723960541,0.47396694214876034,0.5144976399190829,8.098552368398563,5386
knn-k20-mean-dist,TTdew,1.0,0.47309633142557805,0.4020762440849779,0.4549586776859504,0.49123398516520567,8.967750222545687,5386
knn-k20-mean-dist,TTdew,2.0,0.46057842880469,0.3817002969415367,0.4508264462809917,0.4703304113283884,10.01365767149323,5386
global-median,TT,0.0,0.3365492106128408,0.3081380695149758,0.3066115702479339,0.3664868509777478,37.911488718152654,5386
global-median,TT,0.1,0.3357443589329202,0.3077883622798771,0.30702479338842975,0.36446392447741066,38.08022781874985,5386
global-median,TT,0.25,0.3348254041673401,0.3076000027313388,0.30619834710743804,0.36345246122724206,38.28295717432365,5386
global-median,TT,0.5,0.3361740218342315,0.3095043412373777,0.30619834710743804,0.366149696561025,38.47968337613745,5386
global-median,TT,1.0,0.3366961932201312,0.30978324776729493,0.30454545454545456,0.36884693189480783,38.90648491828437,5386
global-median,TT,2.0,0.32343404312232854,0.30196253123719374,0.29049586776859504,0.35637221847606204,39.89801129986465,5386
global-mean,TT,0.0,0.32777706569774245,0.2959638920777976,0.315702479338843,0.3398516520566419,38.38778880711725,5386
global-mean,TT,0.1,0.3279076085442174,0.2960122355529756,0.31528925619834713,0.3405259608900877,38.674275700916624,5386
global-mean,TT,0.25,0.32749438540372156,0.29549189847740653,0.31446280991735537,0.3405259608900877,38.89230186795934,5386
global-mean,TT,0.5,0.3258630874428091,0.2947775387580717,0.31322314049586775,0.3385030343897505,39.11039609895614,5386
global-mean,TT,1.0,0.3253193214558383,0.29506074168887886,0.3128099173553719,0.3378287255563048,39.55595954710363,5386
global-mean,TT,2.0,0.32235584558884994,0.2924625094881803,0.30991735537190085,0.33479433580579904,40.56464887945191,5386
global-median,TTdew,0.0,0.3365492106128408,0.3081380695149758,0.3066115702479339,0.3664868509777478,37.911488718152654,5386
global-median,TTdew,0.1,0.33490147289111305,0.30727802856266706,0.30702479338842975,0.36277815239379635,38.00096647978598,5386
global-median,TTdew,0.25,0.33385197527905797,0.3065674071026429,0.3066115702479339,0.36109238031018204,38.040977209763184,5386
global-median,TTdew,0.5,0.3331015977218392,0.30591668019758955,0.30578512396694213,0.3604180714767363,38.08231843855471,5386
global-median,TTdew,1.0,0.33330820929208715,0.3063886697137059,0.30619834710743804,0.3604180714767363,38.2057363460565,5386
global-median,TTdew,2.0,0.3338468204388023,0.30836040446884583,0.3028925619834711,0.3648010788941335,38.67815570329516,5386
global-mean,TTdew,0.0,0.32777706569774245,0.2959638920777976,0.315702479338843,0.3398516520566419,38.38778880711725,5386
global-mean,TTdew,0.1,0.32811422011446534,0.296127472636903,0.315702479338843,0.3405259608900877,38.55996828711811,5386
